Model,Split,Features,Accuracy,Precision,Recall,F1_Score,Training_Time,Test_Size,Train_Size
Random_Forest,75:25,TF-IDF,0.9264264264264265,0.858265923581239,0.9264264264264265,0.8910445909666486,0.754911,666,1996
SVM_RBF_Optimized,75:25,TF-IDF,0.9264264264264265,0.858265923581239,0.9264264264264265,0.8910445909666486,13.799349,666,1996
SVM_RBF_Optimized,75:25,Word2Vec,0.9264264264264265,0.858265923581239,0.9264264264264265,0.8910445909666486,0.346481,666,1996
SVM_Linear,75:25,Word2Vec,0.9264264264264265,0.858265923581239,0.9264264264264265,0.8910445909666486,0.562836,666,1996
SVM_RBF,75:25,Word2Vec,0.9264264264264265,0.858265923581239,0.9264264264264265,0.8910445909666486,0.381752,666,1996
Decision_Tree,75:25,TF-IDF,0.924924924924925,0.8881895699380363,0.924924924924925,0.9030343474787919,1.66602,666,1996
Decision_Tree,70:30,TF-IDF,0.9224030037546934,0.889023842592564,0.9224030037546934,0.9015419152378435,1.63713,799,1863
Decision_Tree_Entropy,75:25,TF-IDF,0.9174174174174174,0.9002764520005899,0.9174174174174174,0.9064180857009542,2.537677,666,1996
Decision_Tree,80:20,TF-IDF,0.9155722326454033,0.8795523798118505,0.9155722326454033,0.8966085281237023,1.864969,533,2129
Decision_Tree_Entropy,70:30,TF-IDF,0.9111389236545682,0.8932057846741035,0.9111389236545682,0.9012195830425268,2.281916,799,1863
Decision_Tree_Entropy,80:20,TF-IDF,0.8968105065666041,0.8874233129381369,0.8968105065666041,0.8918536852467625,3.335709,533,2129
Decision_Tree_Entropy,75:25,Word2Vec,0.8888888888888888,0.8852262149947986,0.8888888888888888,0.8870434853746401,0.192957,666,1996
Decision_Tree_Entropy,80:20,Word2Vec,0.8874296435272045,0.8829957087234821,0.8874296435272045,0.8851867644550572,0.232388,533,2129
Decision_Tree_Entropy,70:30,Word2Vec,0.8836045056320401,0.8836914869455545,0.8836045056320401,0.8834006308790967,0.184761,799,1863
Decision_Tree,80:20,Word2Vec,0.8818011257035647,0.8839086140629058,0.8818011257035647,0.8827536741392475,0.302072,533,2129
Decision_Tree,75:25,Word2Vec,0.8798798798798799,0.8868671171549769,0.8798798798798799,0.883074587951791,0.279635,666,1996
Decision_Tree,70:30,Word2Vec,0.8785982478097623,0.8837881384162517,0.8785982478097623,0.8811389945435657,0.254215,799,1863
